# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
2,,153,0:03.200.653,65.333 us,11 B,,01,00,      DATA0 packet,C3 80 06 00 02 00 00 09 00 AE 04,,...........
2,,154,0:03.200.723,11.895 us,1 B,,01,00,      ACK packet,D2,,.
1,,155,0:03.200.742,106.812 us,8 B,,01,00,   IN txn,09 02 22 00 01 01 00 A0,,..".....
2,,156,0:03.200.742,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,157,0:03.200.767,65.062 us,11 B,,01,00,      DATA1 packet,4B 09 02 22 00 01 01 00 A0 0A 98,,K..".......
2,,158,0:03.200.836,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,159,0:03.200.853,70.000 us,1 B,,01,00,   IN txn,32,,2
2,,160,0:03.200.853,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,161,0:03.200.880,27.854 us,4 B,,01,00,      DATA0 packet,C3 32 C1 6A,,.2.j
2,,162,0:03.200.911,12.000 us,1 B,,01,00,      ACK packet,D2,,.
1,,163,0:03.200.929,63.979 us,0 B,,01,00,   OUT txn,,,
2,,164,0:03.200.929,22.666 us,3 B,,01,00,      OUT packet,E1 01 E8,,...
2,,165,0:03.200.954,22.645 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,166,0:03.200.981,11.895 us,1 B,,01,00,      ACK packet,D2,,.
0,,167,0:03.201.613,707.645 us,34 B,,01,00,Get Configuration Descriptor,09 02 22 00 01 01 00 A0 32 09 04 00 00 01 03 01 02 00 09 21 11 01 00 01 22 34 00 07 05 81 03 04 00 0A,Index=0 Length=34,..".....2..........!...."4........
1,,168,0:03.201.613,106.312 us,8 B,,01,00,   SETUP txn,80 06 00 02 00 00 22 00,,......".
2,,169,0:03.201.613,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,170,0:03.201.638,65.312 us,11 B,,01,00,      DATA0 packet,C3 80 06 00 02 00 00 22 00 B0 F4,,......."...
2,,171,0:03.201.708,11.895 us,1 B,,01,00,      ACK packet,D2,,.
1,,172,0:03.201.726,106.916 us,8 B,,01,00,   IN txn,09 02 22 00 01 01 00 A0,,..".....
2,,173,0:03.201.726,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,174,0:03.201.752,65.041 us,11 B,,01,00,      DATA1 packet,4B 09 02 22 00 01 01 00 A0 0A 98,,K..".......
2,,175,0:03.201.821,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,176,0:03.201.838,107.145 us,8 B,,01,00,   IN txn,32 09 04 00 00 01 03 01,,2.......
2,,177,0:03.201.838,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,178,0:03.201.864,65.041 us,11 B,,01,00,      DATA0 packet,C3 32 09 04 00 00 01 03 01 35 4D,,.2.......5M
2,,179,0:03.201.933,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,180,0:03.201.950,107.166 us,8 B,,01,00,   IN txn,02 00 09 21 11 01 00 01,,...!....
2,,181,0:03.201.950,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,182,0:03.201.977,65.041 us,11 B,,01,00,      DATA1 packet,4B 02 00 09 21 11 01 00 01 17 8F,,K...!......
2,,183,0:03.202.046,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,184,0:03.202.063,107.145 us,8 B,,01,00,   IN txn,22 34 00 07 05 81 03 04,,"4......
2,,185,0:03.202.063,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,186,0:03.202.089,65.062 us,11 B,,01,00,      DATA0 packet,C3 22 34 00 07 05 81 03 04 AD E1,,."4........
2,,187,0:03.202.158,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,188,0:03.202.175,75.833 us,2 B,,01,00,   IN txn,00 0A,,..
2,,189,0:03.202.175,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,190,0:03.202.201,33.833 us,5 B,,01,00,      DATA1 packet,4B 00 0A 7E 48,,K..~H
2,,191,0:03.202.239,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,192,0:03.202.257,64.000 us,0 B,,01,00,   OUT txn,,,
2,,193,0:03.202.257,22.645 us,3 B,,01,00,      OUT packet,E1 01 E8,,...
2,,194,0:03.202.282,22.645 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,195,0:03.202.309,11.895 us,1 B,,01,00,      ACK packet,D2,,.
0,,196,0:03.202.661,177.583 us,0 B,,01,00,Set Configuration,,Configuration=1,
1,,197,0:03.202.661,106.479 us,8 B,,01,00,   SETUP txn,00 09 01 00 00 00 00 00,,........
2,,198,0:03.202.661,22.666 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,199,0:03.202.687,65.312 us,11 B,,01,00,      DATA0 packet,C3 00 09 01 00 00 00 00 00 27 25,,.........'%
2,,200,0:03.202.756,11.895 us,1 B,,01,00,      ACK packet,D2,,.
1,,201,0:03.202.775,64.395 us,0 B,,01,00,   IN txn,,,
2,,202,0:03.202.775,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,203,0:03.202.801,22.541 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,204,0:03.202.827,11.979 us,1 B,,01,00,      ACK packet,D2,,.
0,,205,0:03.203.633,177.666 us,0 B,,01,00,Control Transfer,,,
1,,206,0:03.203.633,106.562 us,8 B,,01,00,   SETUP txn,21 0A 00 00 00 00 00 00,,!.......
2,,207,0:03.203.633,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,208,0:03.203.659,65.333 us,11 B,,01,00,      DATA0 packet,C3 21 0A 00 00 00 00 00 00 D6 20,,.!........ 
2,,209,0:03.203.728,11.895 us,1 B,,01,00,      ACK packet,D2,,.
1,,210,0:03.203.747,64.312 us,0 B,,01,00,   IN txn,,,
2,,211,0:03.203.747,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,212,0:03.203.773,22.520 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,213,0:03.203.799,11.979 us,1 B,,01,00,      ACK packet,D2,,.
0,,214,0:03.204.634,1.069.250 ms,52 B,,01,00,Control Transfer,05 01 09 02 A1 01 09 01 A1 00 05 09 19 01 29 03 15 00 25 01 75 01 95 03 81 02 75 05 95 01 81 01 05 01 09 30 09 31 09 38 15 81 25 7F 75 08 95 03 81 06 C0 C0,,..............)...%.u.....u........0.1.8..%.u....…
1,,215,0:03.204.634,107.125 us,8 B,,01,00,   SETUP txn,81 06 00 22 00 00 74 00,,..."..t.
2,,216,0:03.204.634,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,217,0:03.204.659,65.979 us,11 B,,01,00,      DATA0 packet,C3 81 06 00 22 00 00 74 00 CF 5F,,...."..t.._
2,,218,0:03.204.729,11.895 us,1 B,,01,00,      ACK packet,D2,,.
1,,219,0:03.204.748,107.500 us,8 B,,01,00,   IN txn,05 01 09 02 A1 01 09 01,,........
2,,220,0:03.204.748,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,221,0:03.204.774,65.729 us,11 B,,01,00,      DATA1 packet,4B 05 01 09 02 A1 01 09 01 A3 FE,,K..........
2,,222,0:03.204.844,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,223,0:03.204.861,107.145 us,8 B,,01,00,   IN txn,A1 00 05 09 19 01 29 03,,......).
2,,224,0:03.204.861,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,225,0:03.204.887,65.062 us,11 B,,01,00,      DATA0 packet,C3 A1 00 05 09 19 01 29 03 A1 19,,.......)...
2,,226,0:03.204.956,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,227,0:03.204.973,107.166 us,8 B,,01,00,   IN txn,15 00 25 01 75 01 95 03,,..%.u...
2,,228,0:03.204.973,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,229,0:03.204.999,65.041 us,11 B,,01,00,      DATA1 packet,4B 15 00 25 01 75 01 95 03 20 AF,,K..%.u... .
2,,230,0:03.205.068,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,231,0:03.205.085,107.145 us,8 B,,01,00,   IN txn,81 02 75 05 95 01 81 01,,..u.....
2,,232,0:03.205.085,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,233,0:03.205.112,65.041 us,11 B,,01,00,      DATA0 packet,C3 81 02 75 05 95 01 81 01 4F 61,,...u.....Oa
2,,234,0:03.205.181,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,235,0:03.205.198,107.166 us,8 B,,01,00,   IN txn,05 01 09 30 09 31 09 38,,...0.1.8
2,,236,0:03.205.198,22.666 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,237,0:03.205.224,65.041 us,11 B,,01,00,      DATA1 packet,4B 05 01 09 30 09 31 09 38 7A 47,,K...0.1.8zG
2,,238,0:03.205.293,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,239,0:03.205.310,107.812 us,8 B,,01,00,   IN txn,15 81 25 7F 75 08 95 03,,..%.u...
2,,240,0:03.205.310,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,241,0:03.205.336,65.708 us,11 B,,01,00,      DATA0 packet,C3 15 81 25 7F 75 08 95 03 49 AF,,...%.u...I.
2,,242,0:03.205.406,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,243,0:03.205.548,86.062 us,4 B,,01,00,   IN txn,81 06 C0 C0,,....
2,,244,0:03.205.548,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,245,0:03.205.574,43.791 us,7 B,,01,00,      DATA1 packet,4B 81 06 C0 C0 67 B6,,K....g.
2,,246,0:03.205.622,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,247,0:03.205.640,64.000 us,0 B,,01,00,   OUT txn,,,
2,,248,0:03.205.640,22.666 us,3 B,,01,00,      OUT packet,E1 01 E8,,...
2,,249,0:03.205.665,22.666 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,250,0:03.205.692,11.895 us,1 B,,01,00,      ACK packet,D2,,.
0,,251,0:03.210.552,1.992.230.958 s,,,01,01,[250 IN-NAK],,[Periodic Timeout],
0,,252,0:05.210.745,736.156.875 ms,4 B,,01,01,IN txn   [92 POLL],00 01 00 00,,....
1,,253,0:05.210.745,728.108.354 ms,,,01,01,   [92 IN-NAK],,,
1,,254,0:05.946.817,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,255,0:05.946.842,43.791 us,7 B,,01,01,   DATA0 packet,C3 00 01 00 00 AE 1B,,.......
1,,256,0:05.946.890,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,257,0:05.954.817,16.087.541 ms,4 B,,01,01,IN txn   [2 POLL],00 01 00 00,,....
1,,258,0:05.954.817,8.039.020 ms,,,01,01,   [2 IN-NAK],,,
1,,259,0:05.970.819,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,260,0:05.970.845,43.791 us,7 B,,01,01,   DATA1 packet,4B 00 01 00 00 AE 1B,,K......
1,,261,0:05.970.893,11.979 us,1 B,,01,01,   ACK packet,D2,,.
0,,262,0:05.978.820,16.087.041 ms,4 B,,01,01,IN txn   [2 POLL],00 01 00 00,,....
1,,263,0:05.978.820,8.038.500 ms,,,01,01,   [2 IN-NAK],,,
1,,264,0:05.994.821,22.645 us,3 B,,01,01,   IN packet,69 81 58,,i.X
1,,265,0:05.994.847,43.812 us,7 B,,01,01,   DATA0 packet,C3 00 01 00 00 AE 1B,,.......
1,,266,0:05.994.895,11.979 us,1 B,,01,01,   ACK packet,D2,,.
